,pokedex_number,name,generation,status,type_1,type_2,height_m,weight_pounds,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,percentage_male,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
0,1,Bulbasaur,1,Normal,GRASS,Poison,0.7,15.211878,45,49,49,65,65,45,45.0,87.5%,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
1,2,Ivysaur,1,Normal,GRASS,Poison,1.0,28.66006,60,62,63,80,80,60,45.0,87.5%,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2,3,Venusaur,1,Normal,GRASS,Poison,2.0,220.462,80,82,83,100,100,80,45.0,87.5%,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
3,3,VenusaurMega Venusaur,1,Normal,GRASS,Poison,2.4,342.81841,80,100,123,122,120,80,45.0,87.5%,1.0,1.0,0.5,0.5,0.25,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
4,4,Charmander,1,Normal,FIRE,,0.6,18.73927,39,52,43,60,50,65,45.0,87.5%,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
5,5,Charmeleon,1,Normal,FIRE,,1.1,41.88778,58,64,58,80,65,80,45.0,87.5%,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
6,6,Charizard,1,Normal,FIRE,Flying,1.7,199.51811,78,84,78,109,85,100,45.0,87.5%,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
7,6,Charizard XMega Charizard X,1,Normal,FIRE,Dragon,1.7,243.61051,78,130,111,130,85,100,45.0,87.5%,1.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0
8,6,Charizard YMega Charizard Y,1,Normal,FIRE,Flying,1.7,221.56431,78,104,78,159,115,100,45.0,87.5%,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
9,7,Squirtle,1,Normal,WATER,,0.5,19.84158,44,48,65,50,64,43,45.0,87.5%,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
10,8,Wartortle,1,Normal,WATER,,1.0,49.60395,59,63,80,65,80,58,45.0,87.5%,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
11,9,Blastoise,1,Normal,WATER,,1.6,188.49501,79,83,100,85,105,78,45.0,87.5%,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
12,9,BlastoiseMega Blastoise,1,Normal,WATER,,1.6,222.887082,79,103,120,135,115,78,45.0,87.5%,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
13,10,Caterpie,1,Normal,BUG,,0.3,6.393398,45,30,35,20,20,45,255.0,50.0%,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
14,11,Metapod,1,Normal,BUG,,0.7,21.825738,50,20,55,25,25,30,120.0,50.0%,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
15,12,Butterfree,1,Normal,BUG,Flying,1.1,70.54784,60,45,50,90,80,70,45.0,50.0%,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
16,13,Weedle,1,Normal,BUG,Poison,0.3,7.054784,40,35,30,20,20,50,255.0,50.0%,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
17,14,Kakuna,1,Normal,BUG,Poison,0.6,22.0462,45,25,50,25,25,35,120.0,50.0%,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
18,15,Beedrill,1,Normal,BUG,Poison,1.0,65.03629,65,90,40,45,80,75,45.0,50.0%,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
19,15,BeedrillMega Beedrill,1,Normal,BUG,Poison,1.4,89.28711,65,150,40,15,80,145,45.0,50.0%,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
